elapsed (s),x-axis (g),y-axis (g),z-axis (g)
45.52,0.939,0.208,0.062
45.6,0.959,0.16899999999999998,-0.018000000000000002
45.68,0.935,0.141,-0.092
45.76,1.03,0.13699999999999998,-0.076
45.84,1.082,0.212,0.075
45.92,1.009,0.24,0.12
46.0,0.987,0.24,0.171
46.08,0.978,0.257,0.25
46.16,0.941,0.245,0.306
46.24,0.938,0.246,0.342
46.32,0.912,0.272,0.366
46.4,0.899,0.28,0.369
46.48,0.907,0.287,0.373
46.56,0.885,0.263,0.3670000000000001
46.64,0.871,0.261,0.366
46.72,0.91,0.293,0.316
46.8,0.92,0.294,0.315
46.88,0.923,0.29,0.304
46.96,0.924,0.292,0.292
47.04,0.926,0.293,0.289
47.12,0.928,0.289,0.285
47.2,0.93,0.29100000000000004,0.281
47.28,0.935,0.293,0.279
47.36,0.935,0.28800000000000003,0.276
47.44,0.932,0.28600000000000003,0.276
47.52,0.933,0.287,0.279
47.6,0.931,0.285,0.282
47.68,0.926,0.28300000000000003,0.29100000000000004
47.76,0.917,0.28800000000000003,0.307
47.84,0.915,0.28800000000000003,0.311
47.92,0.933,0.28,0.313
48.0,0.911,0.28300000000000003,0.28600000000000003
48.08,0.92,0.287,0.269
48.16,0.923,0.28300000000000003,0.284
48.24,0.913,0.292,0.292
48.32,0.875,0.29100000000000004,0.29600000000000004
48.4,0.8690000000000001,0.257,0.279
48.48,0.833,0.254,0.247
48.56,0.73,0.213,0.194
48.64,0.458,0.142,0.124
48.72,0.32299999999999995,0.155,-0.141
48.8,0.7170000000000001,0.332,-0.487
48.88,0.964,0.375,-0.5479999999999999
48.96,1.048,0.5329999999999999,-0.537
49.04,1.499,0.8240000000000001,-0.765
49.12000000000001,1.977,0.921,-0.3720000000000001
49.2,1.5530000000000002,0.794,-0.163
49.28,0.333,0.16699999999999998,-0.016
49.36,-0.35,-0.146,-0.244
49.44,-0.261,-0.069,-0.403
49.52,-0.102,-0.006999999999999999,-0.303
49.6,2.365,-1.6769999999999998,0.909
49.68,0.679,-1.59,1.179
49.76,0.62,-1.4069999999999998,0.047
49.84,0.643,-0.778,-0.228
49.92,1.181,-0.7759999999999999,-0.242
50.0,0.7070000000000001,-0.7509999999999999,-0.006
50.08,0.5770000000000001,-0.674,0.201
50.16,0.5710000000000001,-0.711,0.073
50.24,0.456,-0.779,-0.042
50.32,0.5529999999999999,-0.978,-0.004
50.4,0.63,-0.6729999999999999,0.212
50.48,0.831,-0.813,0.116
50.56,0.623,-0.838,-0.001
50.64,0.38,-0.852,-0.006
50.72,0.487,-0.825,-0.078
50.8,0.578,-0.8390000000000001,0.151
50.88,0.537,-0.84,0.079
50.96,0.487,-0.82,-0.016
51.04,0.519,-0.8370000000000001,0.042
51.12000000000001,0.526,-0.8390000000000001,0.07
51.2,0.521,-0.826,0.036000000000000004
51.28,0.521,-0.835,0.039
51.36,0.522,-0.8320000000000001,0.049
51.44,0.521,-0.828,0.062
51.52,0.523,-0.83,0.051
51.6,0.513,-0.831,0.057
51.68,0.52,-0.8390000000000001,0.05
51.76,0.516,-0.836,0.052000000000000005
51.84,0.515,-0.831,0.063
51.92,0.517,-0.8320000000000001,0.066
52.0,0.522,-0.828,0.054000000000000006
52.08,0.515,-0.84,0.058
52.16,0.503,-0.8490000000000001,0.076
52.24,0.502,-0.838,0.056
52.32,0.504,-0.841,0.05
52.4,0.502,-0.843,0.071
52.48,0.499,-0.84,0.057
52.56,0.493,-0.848,0.038
52.64,0.507,-0.853,0.036000000000000004
52.72,0.504,-0.862,0.059
52.8,0.501,-0.8370000000000001,0.077
52.88,0.604,-0.866,0.066
52.96,0.6609999999999999,-0.8390000000000001,0.08
